pair,training_method,task,seed,interface,condition,category,category_label,count,rate,n
label_only_sft,label_only,rev_util_actionability,42,label_only,LL,correct,正确,540,0.54,1000
label_only_sft,label_only,rev_util_actionability,42,label_only,LL,adjacent_error,相邻错误,354,0.354,1000
label_only_sft,label_only,rev_util_actionability,42,label_only,LL,severe_error,严重错误,106,0.106,1000
label_only_sft,label_only,rev_util_actionability,42,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,cot,LC,correct,正确,505,0.505,1000
label_only_sft,label_only,rev_util_actionability,42,cot,LC,adjacent_error,相邻错误,325,0.325,1000
label_only_sft,label_only,rev_util_actionability,42,cot,LC,severe_error,严重错误,168,0.168,1000
label_only_sft,label_only,rev_util_actionability,42,cot,LC,invalid_format,格式无效,2,0.002,1000
label_only_sft,label_only,rev_util_actionability,43,label_only,LL,correct,正确,543,0.543,1000
label_only_sft,label_only,rev_util_actionability,43,label_only,LL,adjacent_error,相邻错误,344,0.344,1000
label_only_sft,label_only,rev_util_actionability,43,label_only,LL,severe_error,严重错误,113,0.113,1000
label_only_sft,label_only,rev_util_actionability,43,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,cot,LC,correct,正确,509,0.509,1000
label_only_sft,label_only,rev_util_actionability,43,cot,LC,adjacent_error,相邻错误,308,0.308,1000
label_only_sft,label_only,rev_util_actionability,43,cot,LC,severe_error,严重错误,180,0.18,1000
label_only_sft,label_only,rev_util_actionability,43,cot,LC,invalid_format,格式无效,3,0.003,1000
label_only_sft,label_only,rev_util_actionability,44,label_only,LL,correct,正确,539,0.539,1000
label_only_sft,label_only,rev_util_actionability,44,label_only,LL,adjacent_error,相邻错误,361,0.361,1000
label_only_sft,label_only,rev_util_actionability,44,label_only,LL,severe_error,严重错误,100,0.1,1000
label_only_sft,label_only,rev_util_actionability,44,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,cot,LC,correct,正确,543,0.543,1000
label_only_sft,label_only,rev_util_actionability,44,cot,LC,adjacent_error,相邻错误,305,0.305,1000
label_only_sft,label_only,rev_util_actionability,44,cot,LC,severe_error,严重错误,152,0.152,1000
label_only_sft,label_only,rev_util_actionability,44,cot,LC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,label_only,CL,correct,正确,522,0.522,1000
cot_sft,cot,rev_util_actionability,42,label_only,CL,adjacent_error,相邻错误,354,0.354,1000
cot_sft,cot,rev_util_actionability,42,label_only,CL,severe_error,严重错误,124,0.124,1000
cot_sft,cot,rev_util_actionability,42,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,cot,CC,correct,正确,500,0.5,1000
cot_sft,cot,rev_util_actionability,42,cot,CC,adjacent_error,相邻错误,359,0.359,1000
cot_sft,cot,rev_util_actionability,42,cot,CC,severe_error,严重错误,141,0.141,1000
cot_sft,cot,rev_util_actionability,42,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,label_only,CL,correct,正确,514,0.514,1000
cot_sft,cot,rev_util_actionability,43,label_only,CL,adjacent_error,相邻错误,337,0.337,1000
cot_sft,cot,rev_util_actionability,43,label_only,CL,severe_error,严重错误,121,0.121,1000
cot_sft,cot,rev_util_actionability,43,label_only,CL,invalid_format,格式无效,28,0.028,1000
cot_sft,cot,rev_util_actionability,43,cot,CC,correct,正确,493,0.493,1000
cot_sft,cot,rev_util_actionability,43,cot,CC,adjacent_error,相邻错误,361,0.361,1000
cot_sft,cot,rev_util_actionability,43,cot,CC,severe_error,严重错误,146,0.146,1000
cot_sft,cot,rev_util_actionability,43,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,label_only,CL,correct,正确,526,0.526,1000
cot_sft,cot,rev_util_actionability,44,label_only,CL,adjacent_error,相邻错误,345,0.345,1000
cot_sft,cot,rev_util_actionability,44,label_only,CL,severe_error,严重错误,129,0.129,1000
cot_sft,cot,rev_util_actionability,44,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,cot,CC,correct,正确,475,0.475,1000
cot_sft,cot,rev_util_actionability,44,cot,CC,adjacent_error,相邻错误,373,0.373,1000
cot_sft,cot,rev_util_actionability,44,cot,CC,severe_error,严重错误,152,0.152,1000
cot_sft,cot,rev_util_actionability,44,cot,CC,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,label_only,LL,correct,正确,702,0.702,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,label_only,LL,adjacent_error,相邻错误,123,0.123,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,label_only,LL,severe_error,严重错误,175,0.175,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,cot,LC,correct,正确,629,0.629,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,cot,LC,adjacent_error,相邻错误,167,0.167,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,cot,LC,severe_error,严重错误,204,0.204,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,cot,LC,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,label_only,LL,correct,正确,726,0.726,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,label_only,LL,adjacent_error,相邻错误,126,0.126,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,label_only,LL,severe_error,严重错误,148,0.148,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,cot,LC,correct,正确,641,0.641,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,cot,LC,adjacent_error,相邻错误,142,0.142,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,cot,LC,severe_error,严重错误,216,0.216,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,cot,LC,invalid_format,格式无效,1,0.001,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,label_only,LL,correct,正确,701,0.701,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,label_only,LL,adjacent_error,相邻错误,116,0.116,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,label_only,LL,severe_error,严重错误,183,0.183,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,cot,LC,correct,正确,649,0.649,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,cot,LC,adjacent_error,相邻错误,145,0.145,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,cot,LC,severe_error,严重错误,206,0.206,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,cot,LC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,label_only,CL,correct,正确,561,0.561,1000
cot_sft,cot,rev_util_grounding_specificity,42,label_only,CL,adjacent_error,相邻错误,264,0.264,1000
cot_sft,cot,rev_util_grounding_specificity,42,label_only,CL,severe_error,严重错误,175,0.175,1000
cot_sft,cot,rev_util_grounding_specificity,42,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,cot,CC,correct,正确,693,0.693,1000
cot_sft,cot,rev_util_grounding_specificity,42,cot,CC,adjacent_error,相邻错误,101,0.101,1000
cot_sft,cot,rev_util_grounding_specificity,42,cot,CC,severe_error,严重错误,206,0.206,1000
cot_sft,cot,rev_util_grounding_specificity,42,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,label_only,CL,correct,正确,559,0.559,1000
cot_sft,cot,rev_util_grounding_specificity,43,label_only,CL,adjacent_error,相邻错误,297,0.297,1000
cot_sft,cot,rev_util_grounding_specificity,43,label_only,CL,severe_error,严重错误,144,0.144,1000
cot_sft,cot,rev_util_grounding_specificity,43,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,cot,CC,correct,正确,682,0.682,1000
cot_sft,cot,rev_util_grounding_specificity,43,cot,CC,adjacent_error,相邻错误,98,0.098,1000
cot_sft,cot,rev_util_grounding_specificity,43,cot,CC,severe_error,严重错误,220,0.22,1000
cot_sft,cot,rev_util_grounding_specificity,43,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,label_only,CL,correct,正确,595,0.595,1000
cot_sft,cot,rev_util_grounding_specificity,44,label_only,CL,adjacent_error,相邻错误,232,0.232,1000
cot_sft,cot,rev_util_grounding_specificity,44,label_only,CL,severe_error,严重错误,173,0.173,1000
cot_sft,cot,rev_util_grounding_specificity,44,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,cot,CC,correct,正确,673,0.673,1000
cot_sft,cot,rev_util_grounding_specificity,44,cot,CC,adjacent_error,相邻错误,96,0.096,1000
cot_sft,cot,rev_util_grounding_specificity,44,cot,CC,severe_error,严重错误,231,0.231,1000
cot_sft,cot,rev_util_grounding_specificity,44,cot,CC,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,label_only,LL,correct,正确,615,0.615,1000
label_only_sft,label_only,rev_util_helpfulness,42,label_only,LL,adjacent_error,相邻错误,368,0.368,1000
label_only_sft,label_only,rev_util_helpfulness,42,label_only,LL,severe_error,严重错误,17,0.017,1000
label_only_sft,label_only,rev_util_helpfulness,42,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,cot,LC,correct,正确,602,0.602,1000
