pair,training_method,task,seed,from_category,to_category,count,rate,n
label_only_sft,label_only,rev_util_actionability,42,correct,correct,431,0.431,1000
label_only_sft,label_only,rev_util_actionability,42,correct,adjacent_error,63,0.063,1000
label_only_sft,label_only,rev_util_actionability,42,correct,severe_error,46,0.046,1000
label_only_sft,label_only,rev_util_actionability,42,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,adjacent_error,correct,62,0.062,1000
label_only_sft,label_only,rev_util_actionability,42,adjacent_error,adjacent_error,250,0.25,1000
label_only_sft,label_only,rev_util_actionability,42,adjacent_error,severe_error,41,0.041,1000
label_only_sft,label_only,rev_util_actionability,42,adjacent_error,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,severe_error,correct,12,0.012,1000
label_only_sft,label_only,rev_util_actionability,42,severe_error,adjacent_error,12,0.012,1000
label_only_sft,label_only,rev_util_actionability,42,severe_error,severe_error,81,0.081,1000
label_only_sft,label_only,rev_util_actionability,42,severe_error,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,correct,correct,429,0.429,1000
label_only_sft,label_only,rev_util_actionability,43,correct,adjacent_error,65,0.065,1000
label_only_sft,label_only,rev_util_actionability,43,correct,severe_error,47,0.047,1000
label_only_sft,label_only,rev_util_actionability,43,correct,invalid_format,2,0.002,1000
label_only_sft,label_only,rev_util_actionability,43,adjacent_error,correct,65,0.065,1000
label_only_sft,label_only,rev_util_actionability,43,adjacent_error,adjacent_error,232,0.232,1000
label_only_sft,label_only,rev_util_actionability,43,adjacent_error,severe_error,46,0.046,1000
label_only_sft,label_only,rev_util_actionability,43,adjacent_error,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,43,severe_error,correct,15,0.015,1000
label_only_sft,label_only,rev_util_actionability,43,severe_error,adjacent_error,11,0.011,1000
label_only_sft,label_only,rev_util_actionability,43,severe_error,severe_error,87,0.087,1000
label_only_sft,label_only,rev_util_actionability,43,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,correct,correct,439,0.439,1000
label_only_sft,label_only,rev_util_actionability,44,correct,adjacent_error,63,0.063,1000
label_only_sft,label_only,rev_util_actionability,44,correct,severe_error,37,0.037,1000
label_only_sft,label_only,rev_util_actionability,44,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,adjacent_error,correct,85,0.085,1000
label_only_sft,label_only,rev_util_actionability,44,adjacent_error,adjacent_error,229,0.229,1000
label_only_sft,label_only,rev_util_actionability,44,adjacent_error,severe_error,47,0.047,1000
label_only_sft,label_only,rev_util_actionability,44,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,severe_error,correct,19,0.019,1000
label_only_sft,label_only,rev_util_actionability,44,severe_error,adjacent_error,13,0.013,1000
label_only_sft,label_only,rev_util_actionability,44,severe_error,severe_error,68,0.068,1000
label_only_sft,label_only,rev_util_actionability,44,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,correct,correct,403,0.403,1000
cot_sft,cot,rev_util_actionability,42,correct,adjacent_error,60,0.06,1000
cot_sft,cot,rev_util_actionability,42,correct,severe_error,59,0.059,1000
cot_sft,cot,rev_util_actionability,42,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,adjacent_error,correct,48,0.048,1000
cot_sft,cot,rev_util_actionability,42,adjacent_error,adjacent_error,284,0.284,1000
cot_sft,cot,rev_util_actionability,42,adjacent_error,severe_error,22,0.022,1000
cot_sft,cot,rev_util_actionability,42,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,severe_error,correct,49,0.049,1000
cot_sft,cot,rev_util_actionability,42,severe_error,adjacent_error,15,0.015,1000
cot_sft,cot,rev_util_actionability,42,severe_error,severe_error,60,0.06,1000
cot_sft,cot,rev_util_actionability,42,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,correct,correct,394,0.394,1000
cot_sft,cot,rev_util_actionability,43,correct,adjacent_error,70,0.07,1000
cot_sft,cot,rev_util_actionability,43,correct,severe_error,50,0.05,1000
cot_sft,cot,rev_util_actionability,43,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,adjacent_error,correct,45,0.045,1000
cot_sft,cot,rev_util_actionability,43,adjacent_error,adjacent_error,266,0.266,1000
cot_sft,cot,rev_util_actionability,43,adjacent_error,severe_error,26,0.026,1000
cot_sft,cot,rev_util_actionability,43,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,severe_error,correct,37,0.037,1000
cot_sft,cot,rev_util_actionability,43,severe_error,adjacent_error,19,0.019,1000
cot_sft,cot,rev_util_actionability,43,severe_error,severe_error,65,0.065,1000
cot_sft,cot,rev_util_actionability,43,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,invalid_format,correct,17,0.017,1000
cot_sft,cot,rev_util_actionability,43,invalid_format,adjacent_error,6,0.006,1000
cot_sft,cot,rev_util_actionability,43,invalid_format,severe_error,5,0.005,1000
cot_sft,cot,rev_util_actionability,43,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,correct,correct,390,0.39,1000
cot_sft,cot,rev_util_actionability,44,correct,adjacent_error,75,0.075,1000
cot_sft,cot,rev_util_actionability,44,correct,severe_error,61,0.061,1000
cot_sft,cot,rev_util_actionability,44,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,adjacent_error,correct,41,0.041,1000
cot_sft,cot,rev_util_actionability,44,adjacent_error,adjacent_error,281,0.281,1000
cot_sft,cot,rev_util_actionability,44,adjacent_error,severe_error,23,0.023,1000
cot_sft,cot,rev_util_actionability,44,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,severe_error,correct,44,0.044,1000
cot_sft,cot,rev_util_actionability,44,severe_error,adjacent_error,17,0.017,1000
cot_sft,cot,rev_util_actionability,44,severe_error,severe_error,68,0.068,1000
cot_sft,cot,rev_util_actionability,44,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_actionability,44,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,correct,correct,545,0.545,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,correct,adjacent_error,88,0.088,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,correct,severe_error,69,0.069,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,adjacent_error,correct,48,0.048,1000
