pair,before_code,after_code,task,seed,n,strict_invalid_before,strict_invalid_after,relaxed_valid_before,relaxed_valid_after,relaxed_recovered_before,relaxed_recovered_after,correct_before,correct_after,accuracy_before,accuracy_after,accuracy_delta,gain_adjacent_to_correct,gain_severe_to_correct,gain_invalid_to_correct,accuracy_gain_count,loss_correct_to_adjacent,loss_correct_to_severe,loss_correct_to_invalid,accuracy_loss_count,accuracy_net_count,severe_before,severe_after,severe_rate_before,severe_rate_after,severe_rate_delta,correct_to_severe,severe_to_correct,sq_error_sum_before,sq_error_sum_after,sq_error_sum_delta,observed_before,observed_after,expected_before,expected_after,qwk_before,qwk_after,qwk_delta
label_only_sft,LL,LC,rev_util_actionability,42,1000,0,2,1000,998,0,0,540,505,0.54,0.505,-0.035,62,12,0,74,63,46,0,109,-35,106,168,0.106,0.168,0.062,46,12,830,1123,293,0.83,1.125250501002004,3.782174,4.2842578945466085,0.7805494934923671,0.7373522956135939,-0.043197197878773186
label_only_sft,LL,LC,rev_util_actionability,43,1000,0,3,1000,997,0,0,543,509,0.543,0.509,-0.034,65,15,0,80,65,47,2,114,-34,113,180,0.113,0.18,0.067,47,15,828,1127,299,0.828,1.1303911735205616,3.776526,4.2171720779188115,0.7807508805711916,0.7319551698069637,-0.04879571076422784
label_only_sft,LL,LC,rev_util_actionability,44,1000,0,0,1000,1000,0,0,539,543,0.539,0.543,0.004,85,19,0,104,63,37,0,100,4,100,152,0.1,0.152,0.052,37,19,793,962,169,0.793,0.962,3.70382,3.951102,0.7858967228429027,0.756523623029727,-0.029373099813175707
label_only_sft,LL,LC,rev_util_grounding_specificity,42,1000,0,0,1000,1000,0,0,702,629,0.702,0.629,-0.073,48,36,0,84,88,69,0,157,-73,175,204,0.175,0.204,0.029,69,36,904,1138,234,0.904,1.138,3.385662,4.156786,0.7329916571707394,0.7262307946572184,-0.006760862513521038
label_only_sft,LL,LC,rev_util_grounding_specificity,43,1000,0,1,1000,999,0,0,726,641,0.726,0.641,-0.085,33,32,0,65,60,89,1,150,-85,148,216,0.148,0.216,0.068,89,32,789,1153,364,0.789,1.1541541541541542,3.42108,4.202315428541655,0.7693710758006244,0.7253528028107389,-0.044018272989885476
label_only_sft,LL,LC,rev_util_grounding_specificity,44,1000,0,0,1000,1000,0,0,701,649,0.701,0.649,-0.052,40,27,0,67,65,54,0,119,-52,183,206,0.183,0.206,0.023,54,27,939,1122,183,0.939,1.122,3.394016,3.993062,0.7233366018309872,0.7190126274022292,-0.004323974428758093
label_only_sft,LL,LC,rev_util_helpfulness,42,1000,0,1,1000,999,0,0,615,602,0.615,0.602,-0.013,83,0,0,83,96,0,0,96,-13,17,21,0.017,0.021,0.004,0,0,436,475,39,0.436,0.4754754754754755,1.619136,1.6227629030431834,0.7307205818411795,0.7069963365665979,-0.023724245274581612
label_only_sft,LL,LC,rev_util_helpfulness,43,1000,0,0,1000,1000,0,0,592,604,0.592,0.604,0.012,82,0,0,82,70,0,0,70,12,13,26,0.013,0.026,0.013,0,0,452,484,32,0.452,0.484,1.586544,1.590208,0.71510402484898,0.6956373002776995,-0.019466724571280403
label_only_sft,LL,LC,rev_util_helpfulness,44,1000,0,1,1000,999,0,0,606,595,0.606,0.595,-0.011,77,0,0,77,87,0,1,88,-11,13,16,0.013,0.016,0.003,0,0,443,462,19,0.443,0.4624624624624625,1.566304,1.586262939616293,0.7171685700860113,0.7084578786324485,-0.008710691453562847
label_only_sft,LL,LC,rev_util_verifiability,42,788,0,0,788,788,0,0,480,437,0.6091370558375635,0.5545685279187818,-0.05456852791878172,67,4,0,71,104,10,0,114,-43,60,100,0.07614213197969544,0.12690355329949238,0.050761421319796954,10,4,527,696,169,0.6687817258883249,0.883248730964467,2.6993609729701875,2.8094224277873687,0.7522444265197906,0.6856119883473374,-0.06663243817245323
