pair,training_method,task,seed,n,both_valid_count,same_score_count,changed_score_count,same_score_rate_all,changed_score_rate_all,changed_score_rate_both_valid,mean_signed_score_change,mean_absolute_score_change,improved_error_count,same_error_count,worsened_error_count,improved_error_rate_all,same_error_rate_all,worsened_error_rate_all
label_only_sft,label_only,rev_util_actionability,42,1000,998,730,268,0.73,0.268,0.2685370741482966,0.12024048096192384,0.374749498997996,86,758,154,0.086,0.758,0.154
label_only_sft,label_only,rev_util_actionability,43,1000,997,725,272,0.725,0.272,0.2728184553660983,0.15245737211634905,0.3731193580742227,91,743,163,0.091,0.743,0.163
label_only_sft,label_only,rev_util_actionability,44,1000,1000,720,280,0.72,0.28,0.28,0.103,0.363,118,734,148,0.118,0.734,0.148
cot_sft,cot,rev_util_actionability,42,1000,1000,713,287,0.713,0.287,0.287,-0.102,0.444,116,741,143,0.116,0.741,0.143
cot_sft,cot,rev_util_actionability,43,1000,972,692,280,0.692,0.28,0.2880658436213992,0.14300411522633744,0.43106995884773663,103,721,148,0.103,0.721,0.148
cot_sft,cot,rev_util_actionability,44,1000,1000,695,305,0.695,0.305,0.305,0.022,0.466,105,732,163,0.105,0.732,0.163
label_only_sft,label_only,rev_util_grounding_specificity,42,1000,1000,704,296,0.704,0.296,0.296,-0.146,0.414,107,709,184,0.107,0.709,0.184
label_only_sft,label_only,rev_util_grounding_specificity,43,1000,999,732,267,0.732,0.267,0.2672672672672673,-0.05805805805805806,0.4084084084084084,77,744,178,0.077,0.744,0.178
label_only_sft,label_only,rev_util_grounding_specificity,44,1000,1000,762,238,0.762,0.238,0.238,-0.159,0.337,88,771,141,0.088,0.771,0.141
cot_sft,cot,rev_util_grounding_specificity,42,1000,1000,644,356,0.644,0.356,0.356,0.064,0.456,226,652,122,0.226,0.652,0.122
cot_sft,cot,rev_util_grounding_specificity,43,1000,1000,614,386,0.614,0.386,0.386,0.299,0.505,215,625,160,0.215,0.625,0.16
cot_sft,cot,rev_util_grounding_specificity,44,1000,1000,689,311,0.689,0.311,0.311,0.166,0.416,169,697,134,0.169,0.697,0.134
label_only_sft,label_only,rev_util_helpfulness,42,1000,999,805,194,0.805,0.194,0.1941941941941942,0.028028028028028028,0.1941941941941942,87,805,107,0.087,0.805,0.107
label_only_sft,label_only,rev_util_helpfulness,43,1000,1000,825,175,0.825,0.175,0.175,0.046,0.176,86,826,88,0.086,0.826,0.088
label_only_sft,label_only,rev_util_helpfulness,44,1000,999,823,176,0.823,0.176,0.17617617617617617,0.06906906906906907,0.17717717717717718,81,824,94,0.081,0.824,0.094
cot_sft,cot,rev_util_helpfulness,42,1000,1000,671,329,0.671,0.329,0.329,0.01,0.338,153,677,170,0.153,0.677,0.17
cot_sft,cot,rev_util_helpfulness,43,1000,1000,651,349,0.651,0.349,0.349,0.085,0.363,179,662,159,0.179,0.662,0.159
cot_sft,cot,rev_util_helpfulness,44,1000,1000,651,349,0.651,0.349,0.349,-0.077,0.359,162,659,179,0.162,0.659,0.179
label_only_sft,label_only,rev_util_verifiability,42,788,788,538,250,0.682741116751269,0.31725888324873097,0.31725888324873097,-0.031725888324873094,0.35152284263959394,82,546,160,0.10406091370558376,0.6928934010152284,0.20304568527918782
label_only_sft,label_only,rev_util_verifiability,43,788,788,556,232,0.7055837563451777,0.29441624365482233,0.29441624365482233,-0.012690355329949238,0.33756345177664976,80,562,146,0.10152284263959391,0.7131979695431472,0.18527918781725888
label_only_sft,label_only,rev_util_verifiability,44,788,788,541,247,0.6865482233502538,0.3134517766497462,0.3134517766497462,-0.044416243654822336,0.33883248730964466,90,543,155,0.11421319796954314,0.6890862944162437,0.1967005076142132
cot_sft,cot,rev_util_verifiability,42,788,788,345,443,0.43781725888324874,0.5621827411167513,0.5621827411167513,-0.1967005076142132,0.5977157360406091,217,353,218,0.2753807106598985,0.4479695431472081,0.2766497461928934
cot_sft,cot,rev_util_verifiability,43,788,788,412,376,0.5228426395939086,0.47715736040609136,0.47715736040609136,-0.07487309644670051,0.516497461928934,161,428,199,0.20431472081218274,0.5431472081218274,0.25253807106598986
cot_sft,cot,rev_util_verifiability,44,788,788,411,377,0.5215736040609137,0.4784263959390863,0.4784263959390863,-0.04187817258883249,0.5241116751269036,174,423,191,0.22081218274111675,0.5368020304568528,0.24238578680203046
