pair,training_method,task,seed,from_prediction,to_prediction,count,rate,n
label_only_sft,label_only,rev_util_actionability,42,invalid,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid,2,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid,3,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,invalid,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,1,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,1,1,104,0.104,1000
label_only_sft,label_only,rev_util_actionability,42,1,2,5,0.005,1000
label_only_sft,label_only,rev_util_actionability,42,1,3,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,1,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,1,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,2,invalid,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,2,1,38,0.038,1000
label_only_sft,label_only,rev_util_actionability,42,2,2,226,0.226,1000
label_only_sft,label_only,rev_util_actionability,42,2,3,42,0.042,1000
label_only_sft,label_only,rev_util_actionability,42,2,4,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,2,5,7,0.007,1000
label_only_sft,label_only,rev_util_actionability,42,3,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,3,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,3,2,39,0.039,1000
label_only_sft,label_only,rev_util_actionability,42,3,3,156,0.156,1000
label_only_sft,label_only,rev_util_actionability,42,3,4,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,3,5,74,0.074,1000
label_only_sft,label_only,rev_util_actionability,42,4,invalid,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,42,4,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,4,2,13,0.013,1000
label_only_sft,label_only,rev_util_actionability,42,4,3,16,0.016,1000
label_only_sft,label_only,rev_util_actionability,42,4,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,4,5,28,0.028,1000
label_only_sft,label_only,rev_util_actionability,42,5,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,5,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,5,2,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,5,3,4,0.004,1000
label_only_sft,label_only,rev_util_actionability,42,5,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,42,5,5,244,0.244,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,2,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,3,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,invalid,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,1,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,1,1,108,0.108,1000
label_only_sft,label_only,rev_util_actionability,43,1,2,4,0.004,1000
label_only_sft,label_only,rev_util_actionability,43,1,3,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,43,1,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,1,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,2,invalid,3,0.003,1000
label_only_sft,label_only,rev_util_actionability,43,2,1,50,0.05,1000
label_only_sft,label_only,rev_util_actionability,43,2,2,147,0.147,1000
label_only_sft,label_only,rev_util_actionability,43,2,3,77,0.077,1000
label_only_sft,label_only,rev_util_actionability,43,2,4,2,0.002,1000
label_only_sft,label_only,rev_util_actionability,43,2,5,5,0.005,1000
label_only_sft,label_only,rev_util_actionability,43,3,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,3,1,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,43,3,2,27,0.027,1000
label_only_sft,label_only,rev_util_actionability,43,3,3,221,0.221,1000
label_only_sft,label_only,rev_util_actionability,43,3,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,3,5,74,0.074,1000
label_only_sft,label_only,rev_util_actionability,43,4,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,4,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,4,2,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,43,4,3,8,0.008,1000
label_only_sft,label_only,rev_util_actionability,43,4,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,4,5,12,0.012,1000
label_only_sft,label_only,rev_util_actionability,43,5,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,5,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,5,2,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,43,5,3,9,0.009,1000
label_only_sft,label_only,rev_util_actionability,43,5,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,43,5,5,249,0.249,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,2,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,3,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,invalid,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,1,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,1,1,81,0.081,1000
label_only_sft,label_only,rev_util_actionability,44,1,2,9,0.009,1000
label_only_sft,label_only,rev_util_actionability,44,1,3,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,44,1,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,1,5,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,2,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,2,1,41,0.041,1000
label_only_sft,label_only,rev_util_actionability,44,2,2,196,0.196,1000
label_only_sft,label_only,rev_util_actionability,44,2,3,84,0.084,1000
label_only_sft,label_only,rev_util_actionability,44,2,4,1,0.001,1000
label_only_sft,label_only,rev_util_actionability,44,2,5,6,0.006,1000
label_only_sft,label_only,rev_util_actionability,44,3,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,3,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,3,2,22,0.022,1000
label_only_sft,label_only,rev_util_actionability,44,3,3,214,0.214,1000
label_only_sft,label_only,rev_util_actionability,44,3,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,3,5,49,0.049,1000
label_only_sft,label_only,rev_util_actionability,44,4,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,4,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,4,2,5,0.005,1000
label_only_sft,label_only,rev_util_actionability,44,4,3,27,0.027,1000
label_only_sft,label_only,rev_util_actionability,44,4,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,4,5,20,0.02,1000
label_only_sft,label_only,rev_util_actionability,44,5,invalid,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,5,1,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,5,2,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,5,3,15,0.015,1000
label_only_sft,label_only,rev_util_actionability,44,5,4,0,0.0,1000
label_only_sft,label_only,rev_util_actionability,44,5,5,229,0.229,1000
cot_sft,cot,rev_util_actionability,42,invalid,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid,1,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid,2,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid,3,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid,4,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,invalid,5,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,1,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,1,1,87,0.087,1000
cot_sft,cot,rev_util_actionability,42,1,2,39,0.039,1000
cot_sft,cot,rev_util_actionability,42,1,3,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,1,4,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,1,5,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,2,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,2,1,8,0.008,1000
cot_sft,cot,rev_util_actionability,42,2,2,267,0.267,1000
cot_sft,cot,rev_util_actionability,42,2,3,31,0.031,1000
cot_sft,cot,rev_util_actionability,42,2,4,19,0.019,1000
cot_sft,cot,rev_util_actionability,42,2,5,3,0.003,1000
cot_sft,cot,rev_util_actionability,42,3,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,3,1,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,3,2,43,0.043,1000
cot_sft,cot,rev_util_actionability,42,3,3,164,0.164,1000
cot_sft,cot,rev_util_actionability,42,3,4,7,0.007,1000
cot_sft,cot,rev_util_actionability,42,3,5,22,0.022,1000
cot_sft,cot,rev_util_actionability,42,4,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,4,1,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,4,2,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,4,3,1,0.001,1000
cot_sft,cot,rev_util_actionability,42,4,4,9,0.009,1000
cot_sft,cot,rev_util_actionability,42,4,5,3,0.003,1000
cot_sft,cot,rev_util_actionability,42,5,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,5,1,0,0.0,1000
cot_sft,cot,rev_util_actionability,42,5,2,5,0.005,1000
cot_sft,cot,rev_util_actionability,42,5,3,100,0.1,1000
cot_sft,cot,rev_util_actionability,42,5,4,6,0.006,1000
cot_sft,cot,rev_util_actionability,42,5,5,186,0.186,1000
cot_sft,cot,rev_util_actionability,43,invalid,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,invalid,1,2,0.002,1000
cot_sft,cot,rev_util_actionability,43,invalid,2,1,0.001,1000
cot_sft,cot,rev_util_actionability,43,invalid,3,9,0.009,1000
cot_sft,cot,rev_util_actionability,43,invalid,4,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,invalid,5,16,0.016,1000
cot_sft,cot,rev_util_actionability,43,1,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,1,1,81,0.081,1000
cot_sft,cot,rev_util_actionability,43,1,2,53,0.053,1000
cot_sft,cot,rev_util_actionability,43,1,3,2,0.002,1000
cot_sft,cot,rev_util_actionability,43,1,4,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,1,5,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,2,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,2,1,5,0.005,1000
cot_sft,cot,rev_util_actionability,43,2,2,251,0.251,1000
cot_sft,cot,rev_util_actionability,43,2,3,60,0.06,1000
cot_sft,cot,rev_util_actionability,43,2,4,28,0.028,1000
cot_sft,cot,rev_util_actionability,43,2,5,5,0.005,1000
cot_sft,cot,rev_util_actionability,43,3,invalid,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,3,1,0,0.0,1000
cot_sft,cot,rev_util_actionability,43,3,2,14,0.014,1000
